Request,Politeness
"Just to clarify: Do you want your program to be notified of mouse click events so that it can act upon them, or do you want to inject mouse click events into the windowing system? And what platform are you on (mac/*nix/Windows/etc)?",1
"I'm sorry, but I'm really struggling to understand what the problem is. Would you mind rephrasing the text after the first code sample?",1
"You do realize this is an example? And that Ruby find this problem at RUNTIME?",0
"Right now I am doing something like http://pastie.org/898437. Is there some other better way to do the same?",1
"Can you please clarify your question so it's clear what you're asking for. Do you want examples of functional and non-functional requirements in the problem specification?",0
"Completely different approach - could you OCR the page, and see if it comes up with any characters? Or are you working from scratch and/or prefiltering the pages quickly before they even reach a much slower OCR step, and/or dealing with pages that might have illustrations but no text?",1
"With the detail you've given that sounds OK to me, though you should note that MAC addresses can be changed/spoofed, so I guess it's a risk based on how tech-savvy/desperate your client is. If you trust your clients anyway, why not just use an honesty approach where they tell you how many times they have it installed and pay the correct fee?",1
"Sure. Can you describe such a enumeration? :)",1
"This problem is trivial to solve. Is this homework?",0
"What have you tried so far? Do you have an attempt at making it work which fails?",1
"Do you always start from 0,0 (or the bottom-left-most point)? Or can you start from any point?",1
"OK, fair enough. But it's still not a SO question?",0
"If an edge connecting the graph to a leaf node is to be deleted, is it assumed to delete the leaf node as well? Alternatively, does deleting a leaf node also delete the edge connecting it to the rest of the graph?",1
"@Derek Beattie I checked : ASP.NET and Silverlight are checked. Should I also check Enable Edit and Continue ?",1
"Are you still interested in this one? Could you answer the questions and comment on the answers to refine the approach?",1
"Do you have a specific question? Or just, *Here's my homework, please do it for me?*",0
"You have an unbalanced double quote. Where does your quote end?",0
"There are many factors that influence the layout and size of an ImageView. Are you able to share the layout file?",1
"i have used zxing library before but never tackled the code in it. Is this the most appropriate way ?",1
"It ought to show up in the Delphi Window _and_ in DebugView. Can you confirm that's happening?",1
"@Alexander I did not understand your last comment. Why can't you store positions?",0
"@LarsOn: Excuse me? I don't understand a word you are saying?",0
"The question isn't clear. Is it a video of two stars in the sky?",0
"Link? Is this homework?",0
"This sounds a lot like a machine learning algorithm - you're trying to find some function of those five parameters that estimates the goodness of the stock. I'm no machine learning expert, but perhaps someone else here is?",1
"What do you mean Justin? I am unsure what you mean by Autobot and Decepticon?",0
"Polynomial of what? Number of points defining the space?",0
"What do you mean by moving? Moving around in your window or a moving image like a *.gif?",0
"You should know that adding the tag homework to your question still doesn't convince many people to do all the work for you. Could you at least show us what you came up with so far?",0
"How far have you gotten? What kind of code have you written?",0
"@RPM1984: its just so utterly wrong though! You seem like a smart guy, where did you get the idea from?",0
"You'll have to give us a bit more context here. Can you provide a code snippet that displays this problem?",1
"A sequence point in C has a precise definition. Does your (pseudo) C-like language define sequence points in the same way?",0
"but how? where will i write the code snipt?",0
"I don't understand this. There is an infinite number of possible strings between a longer string and another long string, so how can you guarantee unique values?",0
"What is the purpose of having two switches? Why not just calculate the time between pulses from sw 0?",0
"You appear to ask two different questions: are you building a language parser and wish to base your parser on a pile of regex? Or are you trying to implement a competitor to [pcre](http://www.pcre.org/) or [Oniguruma](http://www.geocities.jp/kosako3/oniguruma/doc/RE.txt) regular expression parsers?",1
"Depending on the CUDA version you are using, device emulation may not be available, as it has been deprecated and possibly removed. Is it feasible to get another GPU (a cheap one for display maybe)?",1
"What's the purpose of a Riddle? If you get some kind of reward, shouldn't it be a SpecialSquare also?",0
"It's not clear to me what you're trying to ask, or what problem you're trying to solve. Are you trying to figure out what algorithms google, twitter and facebook are using, or are you trying to understand some algorithms better?",1
"Sure, we tell you some good ideas, you make mad money. Are we suckers?",0
"Can you explain your question a bit more, since if each node keeps track of nodes it is connected to, it looks like you have a graph that has connnected components, and for each node type, find the number of connected components that node type is found in, the one present in most connected components is the type that has the longest unconnected chain. is that what you meant?",1
"@Michael No it doesn't have to be jpeg based, but it needs a significant compression ratio as the reason we want to do compression is to significantly reduce the amount of data transferred. From what I know about LZ compression I wouldn't expect that on raw image data, but am I mistaken?",1
"@Rajendra: I have read it carefully, and both the original problem and the converted problem can be interpreted in multiple ways. Is it that hard to give a yes or no answer?",0
"it seems x is the internal transaction ID, y is an ID for the object we operate with and z is the device/operator ID that performs this operation. Krishna, does it have anything to do with cars (or maps?)",1
"@Mitch: I have given you my answer. Can you give your's now?",0
"What is the problem? To identify the liars?",0
"Does each '?' have to be substituted with the same letter, or can they be different?",1
"Sorry if this is a stupid question. Is the output exactly `<%= debug @articles %>` or is the output actually a yaml formated object?",1
"Unclear. Is that one process?",0
"@Gabi: what is the point of having n greater than say 32 or 64 ? It seems like an arbitrary and unnecessary requirement ?",0
"I don't quite understand. Why don't you use ${resource} and pass it to the frontend?",0
"@Rob Fox, thanks! BTW, why won't you post it as an answer? ;)",1
"thanks dana-- that's really great! any way to add a slider to control zoom level?",1
"Shouldn't every professional programmer be able to do such things? Isn't that part of a being programmer?",0
"Where does the menu show up on the page? Do you have HTML or (better yet) a [JSFiddle](http://jsfiddle.net/) that we can look at?",1
"WHy would you need a dummy line to put a breakpoint on ? When can't you use an actual line ?",0
"That's great. Did you have a question too?",1
"He has said its for ASP! or am I missing something?",0
"Is it for a particular CPU (e.g. a Z80 or the Cell processor's SPU) or for some abstract CPU?",1
"Emulating how a fish thinks is the way to get it really right, worse you can't even start on a rough heuristic until you know what a fish-like swimming path *looks* like. Do you even have a way to judge how you're doing?",0
"That's not clear, what kind of distance? You mean orthogonal distance from a side of original rectangle to another one?",0
"I'm not sure I understand your question. Can you put the first sentence into a complete sentence?",0
"...have you considered implementing it yourself? You *are* a programmer, aren't you?",0
"What do you mean by equivalent value?? Are you just looking for a linear function like that in @phimuemue's answer?",0
"@anony: Nice question! Can you share the site where you found the question?",1
"What are you trying to do? Why can't you just store the Range?",0
"I've yet to see a single keyword from the Fortran language in this question. Could you post a minimum size example of fortran code which gives this kind of error, along with what you did to generate it, instead of guessing on the source of the problems?",0
"It's unclear to me what you mean with rule engine in your question. Could you elaborate?",1
"hmmm.. nothing???",0
"Ok, so could you be specific what is problematic for? Maybe show some code?",0
"Okay, you simply posted your homework verbatim. Do you have a question of your own?",0
"Never heard of this before. I guess you've already tried a full repair and it's still happening?",0
"I take it you only have to have pieces at the corners of the square to win, and you can't move on a space where your opponent has already moved? Does the square have to be aligned with the axes, or does a square tilted 45 degrees win the game?",1
"I solved the problem, and I can assure you it is trivial. Is it homework or not?",0
"Terrible question title. I don't know enough about graphs to generate a better one - any suggestions?",0
"how you show imges from lazyload in listview's image ? can you post your code please ?",1
"can show your app please ? Are you looking for something similar to this http://mrdoob.com/projects/harmony ??",1
"That's a big topic. Is there something specific you're having trouble with, or do you need ideas of where to start?",1
"I'd say the statement should be ... whereas not all Superkeys are Candidate keys. That's not the same, is it?",1
"@pimvdb, No I don't. Do you have something which could lead me to a solution or just wanna make some pointless comments?",0
"Who does not want to see such questions might want to include poll and subjective into the ignored tags. ;-) What is the point of it being a wiki?",0
"@Sriram : yup I will think of it on a small scale first ..then perhaps later will look into the bigger picture :-) ..thanks for ur suggestions !! :-) so what do u feel hw should one get started with this ?",1
"Spec isn't complete, what format is the percentage entered? What should happen if the user enters in decimal format (0.15) or includes the % symbol in the text, or worse yet both?",1
"No. Distribued between what and what? Are those numbers independent or not?",0
"Loops are forbidden? What sort of nonsensical assignment is this?",0
"I don't know of a specific resource, but if you have specific questions I may be able to help a little. Are you using WER?",1
"Does this happen in one kind of debugging session, or is it random. For example, if you are trying to debug a running service by attaching to process, or are you just trying to run code in the debugger?",1
"the density function in both polar and cartesian coordinates becomes a constant What does density in polar coordinates mean? Is it even possible to have constant density in both coordinate systems?",0
"O(n) is trivial. Is it possible to do this faster?",0
"Also, you say there is only one common element in the three arrays. Does that mean only one element appears in all three arrays and just two of the three arrays can have other common elements, or can two of three arrays have no other common elements than the one that is common in all three?",1
"Could you better describe for which elements of jqGrid you what to set the background image? Do you want to set it on the grid title (the capture layer), on the column headers or replace only the sorting images in the column header (see the pictures [here](http://www.trirand.com/jqgridwiki/doku.php?id=wiki:how_it_works))?",1
"By `In fact I already have!`, do you mean that you have switched to generics collections? Could you share your opinion about the performance?",1
"@ANdrea: I don't that is right. What if all the numbers were negative?",0
"Why do you want to do this in the first place? You're already using managed code, why not use the BCL's [regex class](http://msdn.microsoft.com/en-us/library/system.text.regularexpressions.regex.aspx)?",0
"Great question, but I'm not sure stackoverflow is the right place to ask it. Maybe this would be better-suited for programmers.SE.com?",1
"javascript problem I suspect. very strange, maybe some conflict with libraries or plugins in safari only?",1
"it was a joke. why so serious?",0
"why o' why? Developing a new DBMS?",0
"UTF-8 files are text. What's this about an image part?",0
"If you need wide browser compatibility, you'll have to use JavaScript. Would you be interested in a JavaScript solution?",1
"*Obviously*. Why not?",0
"@Vlad: then why is there a problem? If you make each tile say 5 bytes (that 1 byte + entityID) and every entity contains it's position, then everything is O(1) right?",0
"Are you using an IDE in your group? Like Eclipse or Netbeans?",1
"You try thinking of algorithms (either new ones or ones you know) that satisfy the constraint, discarding the ones that don't. :-) Do you have specific examples?",1
"Do you have 18GiB of memory to store the solution? Do you really need all of them?",0
"So you mean you just can't use date functions, yes? Presumably comparison, multiplication and subtraction are okay? :-)",1
"Debug adds lots of overhead to a program. Why are you assuming things are wrong?",0
"Why would you build your own XML parser at all? Is this just to learn javaCC?",0
"Do you get any sort of error in Instruments when you plugin your iOS device? Is your iPhone Developer Program Membership up to date?",1
"More time spent does not imply more dollars spent. If the decision is between having to pay five developers for a month or having customers wait 0.5s longer for a request, what would you choose?",0
"it is exactly what I want. please how can I do this ?",1
"Did you read the page linked to from that one? If so, which/what part(s) didn't you understand?",1
"this seems like an interesting question, but I can't make heads or tails of it. Do you think you could edit it to explain in more depth, perhaps including links to some of the more technical terms?",1
"Not a real question ? What is the not real part here?",0
"If you view the image by itself in a new tab/window. What dimension does the image turn out to be?",1
"sorry folks, i didn't know how to use the community wiki box. can this be reopened as i've moved it over?",1
"Yeah, it's difficult to tell what the columns mean from their names. Can you add more explanation of how the tables fit together?",1
"Nothing jumps out. You *did* restart VS after copying the visualizer, right?",0
"In that case it might not be the answer then (hence the comment). Are you using the VS web server or IIS Express?",1
"Thanks, though. This was a much more interesting question than how do you make a positive number negative in C#?",1
"@High Performance Mark, as far as I understand the pseudo code describes a path searching algorithm... so I'm trying to write a program that finds a Hamiltonian Path using the logic of the DNA Algorithm. Am I on the wrong *track* here?",1
"You've already said that you're using JPEG2000, which will work. What do you have a question about?",0
"Why the vote to close? Is this offensive to you?",0
"Yes, but the w doesn't have to be 2. What then?",0
"Seems all too straightforward - I must be missing something. The only 'interesting' part is the talk of 'the reverse side of the page' which seems like a bit of irrelevant misdirection - or not?",0
"@Matt No it's not, because hashes are not encryption. Better would be Can I find the preimage for a hash?",0
"Why 2 is not the answer? Do you need any number or the largest number or just found, not found will do?",0
"task == homework? ^^ Moreover: what is supposed to output this newly invented `diff`?",0
"I didn't think the people at Microsoft would be so inconsiderate to say Hey, your database WILL get corrupt, you have to use a menu command in Access to fix it! Would they say the same thing to people using SQL Server?!",0
"I think your best option would be to redesign so that you don't have to do this. What is this design intended to accomplish?",1
"That looks OK to me (just learning Haskell myself, though). Is there anything specifically wrong?",1
"A regular `<img src=URL />` worked for me, but it was an image that I hosted off-site. That doesn't work for you?",1
"Yes, I received the warning about asking a subjective Q but I got no responses on other Q&A sites like Yahoo so I thought I'd give it a shot. What's a CW?",1
"I deliberately didn't mention memory constraints because I wanted to hear several ideas and then make a judgement about speed/memory tradeoff. Can you be more specific about lookup tables in this scenario?",0
"scheme is pretty easy to debug. What step does the stepper stop you at?",1
"What do you mean by protecting them? What are you trying to prevent/avoid?",0
"Its related to an algorithm for finding unique sets of a given number of items, so I just wanted to know if that had a name or if I was already looking at it. Is my question still off topic?",1
"What's the class that it can't find? Are they all custom classes?",1
"It could well be. Can you tell me how your were turning off CSS styles in IE7 please?",1
"ok thanks. Any help I can get?",1
"Apple => i = 0 => B[i + 101] = B[101] = 0069, not 0041. Am I wrong or are you?",0
"I think I might know how you could test to see if there's even a path between start and end, but don't know (at least not yet) how to calculate the least number of circles to remove. Would this be at all useful?",1
"Could you give us more information? What kind of OS and compiler are you using?",1
"That's exaxtly what i meant for the point one....and as you said 200 in 1 week is definetly more impressive than 1000 in 1 year....Considering that i have a mysql db, php in the middle to make query and return json object and java for my android client that get the json and parse it.At wich level this ordering algorith should work? for example on the flight in php page...it mean that that the db is not ordered and in the php page i make a query enfding with ORDER BY and than my function ordering,or the MYsql db shoul already ordered,maybe running my algoruth once a day to reorder app table?",0
"Huh, language agnostic God objects. Ironic?",0
"Yes, Pavel. That is correct (frame problem, much?) :(",0
"@den: OK, so the rectangles are represented as two points. Is this a vector representation or a raster ?",1
"welcome to stackoverflow. what language are you trying to do this in?",1
"My first impression is that it is indeed with the StackPanel, since it's default is to shrink around elements. Have you tried using a fixed size container and adjusting the width, if needed, as part of the animation?",1
"Innovative? You mean, something that uses genetic algorithms that cloud compute on quantum computers?",0
"That example is not scaling. Can you post your code?",1
"Usually you don't get answers, if you don't show effort of solving things by yourself first. So, what are your thoughts, what is your proposed solution, what is clear and what is unclear to you?",0
"can you describe the problem with your first approach more clearly? what is the meaning of elements with close statistical probability of selection and distant selection percentages?",1
"Please be a bit more precise. What language are you developing in?",1
"How are the stops designated? Do they have unique numbers or names?",1
"Are there integers? and can they repeat within a set?",0
"Are you writing a kakuro/sudoku solver? If so, do you have restraints on the possible values, such as always 1 - 9, there are always at most 9 sets, that sort of thing?",1
"I found an obscure reference to idna trace. Has anyone heard of/used this application?",1
"Ok, then your own code seems cleanest. And although this is offtopic: how did you generate those images? :)",1
"I'm using javascript to include other html files. <-- why?",0
"This looks suspiciously like homework. Could you elaborate a little more ?",0
"@DADU What changes do you want to make on that HTML string? Can you give some examples?",1
"the edit just made things less clear! how does one reorder a list A to another list B when the elements may be different?!",0
"Does it REALLY have to be IrfanView? Why not a free library like FreeImage or ImageMagick?",0
"should pmf(X) be the normalized frequency distribution of X? If yes, do we have any function in Matlab to compute it?",1
"Are the x/y coordinates actually reals or integers? That is, can you determine a neighbor by finding the tile with x=x+1 & y=y?",1
"I don't understand. That call stack is all about the Debug Help Library; is this only happening when it is being debugged?",1
"Thanks for the pointer, but now I am not sure to understand your problem. Could you add a drawing?",1
"1. Need table definition, data in the tables, etc 2. What have you tried so far?",1
"Drag what to the desktop? Do you mean to make it the background image, or to drag and drop a file on the desktop?",0
"I don't really know the answer to this, but have you considered lowering the quality or decreasing the size of the image yourself? Maybe take the UIImage from the camera delegate event, scale it down and then save using UIImageJPEGRepresentation with a lower quality setting?",1
"@codeka - 4 in all of those bases is still 4. A more interesting question would be, what base is 10? :P",0
"Is your column `OLE Object` type? Do you use `Bound Object Frame` control to display the images?",1
"(Off-topic:) Nope, this is a case of while i was writing the first one (in php) i accidentally created the second one, and was curious as to see if there was anything different, considering this has to validate 3.5 million cards in the next month 8D. which one is better in your mind?",1
"That's a strange description. Do you mean that the graph is a tree?",0
"@Gene Why is it that a handcrafted parser will beat a C++ parser generator? Considering that writing a hand-crafted parser is a lot of code, isn't it possible that the hand-crafted parser could be much slower?",0
"You made me work at that a little too hard. Next time, could you provide a link to the algorithm that you're using, or at least give us the name of the algorithm?",0
"What are you trying to get exactly? If the list is just 2 tickets with priorities 3 and 5, what do you want to find?",0
"Are you wanting a single array when this algorithm finishes? E.g. an array which stores all elements from `a`, `b` and `c` in a sorted order?",1
"Thanks a lot steve, I'm trying to implement the pseudo-code line by line very carefully, there is an extended pseudo-code that's written more clearly here: http://www.wpi.edu/Pubs/ETD/Available/etd-0430102-111906/unrestricted/corourke.pdf on page 27, I'm coding that carefully and i'm testing it with some sample answers given by NTRU, I think i'm also getting held back in understanding the pseudo-code, in my code I gave a fixed length and set of values to the polynomial f, and the infinite loop on 8-31 never ended, thanks for pointing out that f is a variable. Any more tricks to watch out for?",1
"Can you overlap jobs? If you have two three-unit jobs and six two-unit jobs, can you run the three-unit jobs sequentially on lane A, three two-unit jobs on B, and three two-unit jobs on C, taking six units of printing time in total?",1
"Title say permutations, but body says combinations. Which is it?",0
"Your algorithm is already converting it to coordinates in mercator coordinate system. What is your question?",0
"@Mr blue: it's possible that this question makes sense to those with an HCI background, but my gut tells me it doesn't. Can you elaborate on your question?",1
"@NV, if it's a job interview, are you allowed to get outside help? I mean, you're the one who's applying for the job, right?",0
"The first example you give uses a relative url; the domain it's being served from should make no difference, because no domain is specified. Is each subdomain being mapped to a different site root?",1
"Why do you need randomness? Why can't you use sequential strings?",0
"What programming language does this regard? Could you elaborate on Get the same parts between?",1
"Images are always rectangular, how are you creating anything different? Are you looking for [image maps](http://en.wikipedia.org/wiki/Image_map)?",0
"Smells like homework. How far did you get?",0
"what language should be responsible for creating the empty file? is it a bash shell script?",1
"Is the set of tasks known in advance, or are more tasks being added as you go? Do you have have to worry about starvation (for example, a task with high c_i never getting run if low c_i tasks keep getting added)?",1
"@Brian useful != possible. The question was, what is possible?",0
"Storing an entire HTML page as CSV doesn't really make much sense. You mean convert an HTML table to CSV?",0
"Why not? How many colors do you want?",0
"Do you really want to parse both in the same context? What about things like 2,000,000.45?",0
"I had really hoped to get some more opinions on this question. I modified it a bit, possibly vote to reopen?",1
"Maybe show some code and/or image examples. If compatibility is important, have you considered using an animated GIF?",1
"If you are insecure about your pet IDE being criticized, then by all means, step up and defend it. How do I define a custom key binding in eclipse?",0
"How did u feed the html to the browser? Is there a <base> element in the HTML?",1
"@astony: *in a single step, you could transfer at least one point from element to its neighbours*. Do you mean **at most**?",0
"Have you tried running with breakpoints on? Have you tried enabling NSZombies?",1
"how are the arrays of characters combined. Can you give a few example result strings or pseudocode?",1
"This already works in the summary column in the debugger window or inline data tip when you hover over the variable in your editor. Am I misunderstanding your question?",1
"Im assuming that you need an exact solution. Thats the case, right?",0
"Also note that I know this question has been asked before and the general consensus was to avoid rebuilding your code if you didn't need to, then you don't have to deal with the changed assemblies, which apparently is a part of the deal. May I ask why you need to rebuilds to be identical, as opposed to just not rebuilding it if the code hasn't changed?",1
"What do you mean by tracing letters? Could you give an example, please?",1
"@dmckee: Thank you for replying. Can you please let me know the approach that should be adopted when building a software?",1
"Did you ever get this resolved successfully? Do you still need help with this?",1
"@:closers: why off topic? Mind to explain?",0
"i get this as well, is it only happening since you moved to a later version of xCode? is your configuration in Debug?",1
"*Find a random element* sounds like picking a random element. But I assume you want to find a *specific* element in the array, right?",1
"So? what is the question? The code's not working, is that the question?",0
"Hi, thanks for the bounty. I wonder, did things turn out OK?",1
"Am I correct in thinking that you only are interested in paths having minimum edge count across all paths? I.e. if there exists a path with weights (2, 2, 2), you're not interested in the path (5, 6, 7, 8), right?",1
"I am attempting to ask what I see as a fundamental question. Maybe I should have asked, is it true that there is a fundamental computational complexity for certain math that cannot be avoided?",0
"Wow! Tricky... and interesting. Do you need a method that works externally, or can all of the array fit comfortably in memory?",1
"Why wouldn't you want to go to the source code? What's the purpose of debugging if not for checking the code?",0
"Packets are being received by a program (streamed perhaps is a good word) that have a type of ACK, SYN, FIN, or any combination thereof. Essentially the question is, how can one detect when five different combinations have occurred?",1
"It looks pretty good to me. Can you give some idea of why you think it's incorrect?",1
"What swaps would be required to get your original list to its reordered state? Is that number of swaps proportional to the 100 swaps out of several hundred to a thousand original lines of data?",1
"@karmicpuppet: No, but I notice that ImageBrush has Viewbox and Viewport properties. Should I try to set them manually?",1
"An algorithm...for what? Mine placement?",0
"Why are you debugging AutoCAD? Isn't that AutoDesk's job?",0
"Not sure what you're asking exactly. Can you give an example of sample input and output?",1
"What have you tried? Can you post the code?",1
"Not writing a full blown DNS so reading never ending RFC is a bit boring. Or is that absolutely essential?",0
"What environment are you developing under? OS X, Linux or Windows?",1
"@svante - I'm fine with that! Care to give any feedback on what I SHOULD be using?",1
"I'm sorry, I don't understand your question. Maybe you could post a sample of the code that works properly, and the code that doesn't?",1
"Who said the bunks are equidistant? Also, what is a bunk?",0
"What language are you looking for? C/C++?",0
"list b? I don't get it.. mind to explain more?",0
"You can create an empty div and when the larger image is clicked you can replace that div with a SWF (hiding images if necessary). Will that be OK?",1
"Can you tell us what .NET framework you are using. Also is there a limitation on changing the framework?",1
"My context is: I want to capture an image which has width = 300px, height = 300px in android. how can I do this?",1
"What do you mean by How to calculate? Do you actually want to know the how the algorithmic complexity of stack operations is derived, or do you just want to know the answers?",0
"Problem description has only inputs defined not what the program is supposed to solve. What kind of optimization is needed here?",1
"I know what KMP stands for but not BM. Would you mind writing down what each of them stands for, in case others don't know?",1
"I do have skype installed, but not running. does it need to be running to hijack 80/443?",1
"Are you studying computer science? Whats your background in programming and computer science?",1
"I agree, The question is almost claiming that you can't debug with a debugger in an IDE this is not the case. You can run a debugger with or without an IDE, I'm sure he knows that though :) Maybe he is asking about visual debuggers specificly?",1
"Dijkstra's algorithm finds the shortest path. Negating the weights would cause it to find the longest path, but that won't work if the graph contains cycles, right?",1
"Why not use a database such as MySQL? And more disturbing is why didn't anyone mention that ?!?!",0
"Hi, thanks a lot for all your responses. I need the window the the maximum average value of x?",1
"What kind of user knows JSON but not HTML? How would you put bold text in a link?",0
"Which would be a good addition: I just did the problem and thought it's an interesting question. What are your thoughts/ideas on this?",1
"i really dont understand the question, and also the example is weird. if he throws a ball to 3 others player why there are 5 different paths??",0
"And an intelligent crop is a 3rd. Note though that the aspect ratios are different in the example (0.96 vs 1.1) so perhaps Andre means resizing first, then cropping to match aspect ratio?",1
"@Joonas: What about the solution posted by Benjamin Manns? That does not work for you?",0
"What benefit will you gain if we do your homework for you? Why don't you do it yourself?",0
"Yeah- using a stack for depth first. Did you know that you use a queue for breadth first?",1
"`else if` serves a very different purpose than a simple `if`. How can you code without `else if`?",0
"Is there any chance you could post some of the code, with an indication of where your break point is? Is it possible that the break point is in a non-executing code path (in an if/else block, etc)?",1
"I'm not that familiar with Bezier curves; does this give you what you need to construct them? Can you elaborate how to finish it off?",1
"What about B.C, B.D, and C.D? Why does your goal not include these?",0
"given the following program: I see no program. did you forget to include something?",0
"This is not really enough to tell what can be the problem. Have you tried debug you code, for example trace something in the conditions (so the function what have to be called is called properly or not)?",0
"this is not merging, this is sorting. BTW what are those objects (a1 b1 ...) string?",0
"@Shane I'm using Rscript. How are you loading your scripts?",1
"What in the world are you talking about? Is this a legal question (use of copyrighted images)?",0
"Homework? Because there doesn't seem to be any other remote possibility in my mind why any sane person would want to do this?",0
"Not sure, but maybe you want a clustering alorithm, e.g. http://en.wikipedia.org/wiki/K-means_clustering?",1
"I believe that almost all jQuery plugins can work with a ListView. Could you show any code where you attempt to use gallery with a ListView?",1
"I'm confused. You don't have the original assets ?",0
"it sounds like HTML Agility pack will probably work for me. Are there any other options????",1
"I don't think I'll ever understand the subjective and argumentative thing for community Wikis. If nobody's getting rep, what harm does it do ?",0
"maybe.. this belongs on cstheory.stackexchange.com? not sure?",1
"@Dan Dinu: is it guaranteed it is possible to identify who is a liar and who is a truthteller? should we be able to identify it is not possible?",0
"What do you mean by will take an arbitrary number? Do you think about some input (from user or file) or some other way?",0
"or anything else? So mutable linked list is allowed?",1
"ya it is! am i not supposed to ask hw questions here?",0
"I have one question, but if don't want to answer it's also ok... Where did you took Scala exam? Is your company makes it for the employees or at school or may be you own initiative to learn Scala and take exam?",1
"Also, how can the answer be 3? Three banana's?",0
"I vaguely remember using Sugiyama's with more than one input/output, but I could be wrong. Can you write down a pointer to the alg logic you are using to refresh my memory?",1
"What kind of processing will you perform? Is it just a matter of setting up data structures to model a family tree?",1
"What about the size of the submatrix? Can it be anything?",1
"What's your question? Whether or not to use MonoDroid?",0
"How would there be a conflict? You're not using user supplied filenames for anything, are you?",0
"Before you get into the run-time of the algorithm, do you understand what it is supposed to do? Do you see how it works?",1
"very unclear - what is it you want to do?? Upload images to a WCF service and store them in SQL Server?",0
"best according to what Goal? What are you trying to minimize or maximize?",0
"Has it crashed before? How often does it crash?",1
"Usefulness and acceptable range of RMSE depends on the goal of the enhancement you are doing and the contents of the image. Can you tell a bit more about that?",1
"Is it acceptable to build an auxiliary data structure to guide the decision process? Could that data structure have size O(n) of the original list?",1
"@Eric no, this is hobby stuff. Why, does it make a difference?",0
"@IVlad: yup, but the current answers fail to explain why. Care to write a better one?",0
"This question is almost word-for-word, the same as http://stackoverflow.com/questions/3624056/ . Is this homework?",0
"Code snippet? What is failing?",0
"Checkpoints, hmm? Must they be visited in order?",0
"What's the processor? What have you done yourself to answer the question?",0
"Sorry if this is obvious, but what is `dn`? Is that a constant multiplied by `n`?",1
"Could you please clarify with an example? And are we doing your homework for you?",0
"Found some more information which likely explains it: http://rt.openssl.org/Ticket/Display.html?id=1497&user=guest&pass=guest -- still not sure how I can work around it. Maybe `keytool` can be used instead?",1
"What is/are all monthy in whay? Are you trying to state that you need to list all values in January along with their sum?",0
"You wouldn't be allowed to ask and post comments if you were not logged in. What kind of programmer are you?",0
"Just a basic question - how many stacks of orders are we looking at? Also, how big are your sets, 1000s of numbers, millions of numbers or more?",1
"I am not sure, its a Google interview question, I saw it initially at http://www.careercup.com/question?id=7263132 .... It feels like that the question meant worst-case time bounds. Does it seem impossible?",1
"How are you accessing the image? Loaded via Request?",1
"It may depend on the image file. If you Select All in the pdf, do you see the outline of the image?",1
"And what's your problem, exactly? What have you tried so far?",0
"I assume that when you rotate them, they have to remain axis-aligned? i.e. you can't rotate then by 30 degrees or anything like that?",1
"Not a trivial task for homework. Did you not get any advice from the teacher on how to proceed?",0
"Can you post this somewhere with a live URL? I don't see a background image referenced in the CSS...?",1
"Uploaded where? With what?",0
"BFS is a pretty basic graph-searching algorithm - seems like it would take a ginormous graph to make it infeasible... How big is a normal graph (both edges and vertices)? Also, how is it stored?",1
"Just curious, who asked a question like that? Did you apply for a math heavy position without knowing what FFT is, or did you apply for a normal job and they asked you this?",0
"Setareh: I'm not sure if you mean that PRINCE2 suits large projects but not small ones, or vice versa. Can you edit to clarify?",1
"It could just be me, but that question doesn't make sense to me completely. Maybe rephrase?",1
"Not related to your Question but is Visual Studio 6 supported on Vista? & isn't JIT just for managed code?",1
"OT : Is my edit of the post a good way to add on-topic questions? What do you suggest else?",1
"Those sound more like rhetorical questions than actual questions. What are you looking for?",0
"Without seeing the images, how can we help you? Can you post some links to them?",0
"Sp1 did not resolve my issues. Any other ideas?",0
"oh sorry mr. wizard yeah i meant math in general - can i change it somehow?",0
"So, the canvas was causing the move to upper left, but removing the canvas still has one of the classes assuming it knows better where to place images, and it's letting me push them outside the bounds of the control. Any suggestions?",1
"I'm a StatEt user, but I'm not aware of a debugger built into Statet. Do you mean the debugging tools built into core R or some other aspect ?",1
"is this a kind of Homework? and put some code that you have tried ?",0
"This should be a pretty straightforward adaptation of the existing algorithms you linked. Can you post what you have and we can help you along with hints?",1
"High level questions are fine, but this one is really broad. It would help if you could narrow your question to something a little more specific or provide more context?",1
"While this is obviously possible, it is far from trivial if you want it to look decent. Can you maybe get away with having several pre-rotated tower images and flip between those?",1
"How does your grammar look like? It is a full-blown language, or just some math equation?",0
"Joe Mills's answe is technically correct but I'm not sure it's what you're after? Why don't you explain what you're trying to do rather than ask how something works?",0
"hey @yoda .thnks fr helping me out!..can u please post the above comment in my question as edit ..? it says i cant as am not allowed 2 post imagess ????",1
"After rereading the second code fragment, I changed my assumption to O(N) * O(N-1) instead of O(N) * O(N+1) because the nested loop gets iterated one less time than the first loop, is this correct? So it would be O(N(N-1)) == O(N^2-N) == O(N^2)?",1
"@gooshgoosh: Youve left out the most important detail: what are you using (programming language, software, etc.) to do the translation?",0
"I don't think this is possible as written. When N is very large, the expected product of widely separated xi must be very close to zero, and we can find a set of 1/p + 1 that must essentially be mutually exclusive despite all having probability p. Perhaps you meant E[xi xj] - p^2 = ... ?",1
"Nice. What kind of improvement?",1
"What are you looking to aggregate? Total sales value, number of orders by customer, total deposit, total number of items sold?",1
